config_label,delivered_messages,avg_latency_ms,match_rate_percent,timestamp, generated_publications
25%,35590,7.85,27.73,2025-06-17T08:16:23.467518, 36675
100%,35675,7.91,9.89,2025-06-17T08:16:23.467518, 35675
