broker_id,received_publications,sent_to_subscribers,matching_attempts,matches_found,timestamp,average_latency_ms
broker_0,11863,11863,39551242,11884493,2025-06-17T08:12:46.425210,
broker_1,11864,11864,39542712,9790136,2025-06-17T08:12:46.425210,
broker_2,11863,11863,39539379,11219146,2025-06-17T08:12:46.425210,
